一望而知	yi1wang4er2zhi1
一朝一夕	yi1zhao1yi1xi1
一朝之忿	yi1zhao1zhi1fen4
一朝之患	yi1zhao1zhi1huan4
一朝千里	yi1zhao1qian1li3
一朝天子一朝臣	yi1chao2tian1zi3yi1chao2chen2
一木破天	yi1mu4po4tian1
一木难支	yi1mu4nan2zhi1
一本万利	yi1ben3wan4li4
一本正经	yi1ben3zheng4jing1
一来一往	yi1lai2yi1wang3
一来二去	yi1lai2er4qu4
一板一眼	yi1ban3yi1yan3
一板三眼	yi1ban3san1yan3
一枕南柯	yi1zhen3nan2ke1
一枕槐安	yi1zhen3huai2an1
一枕邯郸	yi1zhen3han2dan1
一枕黄梁	yi1zhen3huang2liang2
一枕黄粱	yi1zhen3huang2liang2
一枝一栖	yi1zhi1yi1qi1
一枝一节	yi1zhi1yi1jie2
一枝之栖	yi1zhi1zhi1qi1
一柱承天	yi1zhu4cheng2tian1
一柱擎天	yi1zhu4qing2tian1
一根一板	yi1gen1yi1ban3
一梦华胥	yi1meng4hua2xu1
一棍子打死	yi1gun4zi5da3si3
一棒一条痕	yi1bang4yi1tiao2hen2
一概而论	yi1gai4er2lun4
一榻横陈	yi1ta4heng2chen2
一榻胡涂	yi1ta4hu2tu2
一槌定音	yi1chui2ding4yin1
一模一样	yi1mu2yi1yang4
一模二样	yi1mo2er4yang4
一步一个脚印	yi1bu4yi1ge4jiao3yin4
一步一计	yi1bu4yi1ji4
一步一趋	yi1bu4yi1qu1
一步一鬼	yi1bu4yi1gui3
一步三摇	yi1bu4san1yao2
一步登天	yi1bu4deng1tian1
一死一生	yi1si3yi1sheng1
一毛不拔	yi1mao2bu4ba2
一毫不差	yi1hao2bu4cha1
一毫不染	yi1hao2bu4ran3
一毫不苟	yi1hao2bu4gou3
一毫千里	yi1hao2qian1li3
一民同俗	yi1min2tong2su2
一气呵成	yi1qi4he1cheng2
一气浑成	yi1qi4hun2cheng2
一波万波	yi1bo1wan4bo1
一波三折	yi1bo1san1zhe2
一波才动万波随	yi1bo1cai2dong4wan4bo1sui2
一泻万里	yi1xie4wan4li3
一泻千里	yi1xie4qian1li3
一泻汪洋	yi1xie4wang1yang2
一泻百里	yi1xie4bai3li3
一派胡言	yi1pai4hu2yan2
一浆十饼	yi1jiang1shi2bing3
一清二楚	yi1qing1er4chu3
一清二白	yi1qing1er4bai2
一清如水	yi1qing1ru2shui3
一渊不两蛟	yi1yuan1bu4liang3jiao1
一溜烟	yi1liu4yan1
一潭死水	yi1tan2si3shui3
一点一滴	yi1dian3yi1di1
一点半点	yi1dian3ban4dian3
一点灵犀	yi1dian3ling2xi1
一熏一莸	yi1xun1yi1you2
一片丹心	yi1pian4dan1xin1
一片冰心	yi1pian4bing1xin1
一片宫商	yi1pian4gong1shang1
一片散沙	yi1pian4san3sha1
一片汪洋	yi1pian4wang1yang2
一片焦土	yi1pian4jiao1tu3
一牛九锁	yi1niu2jiu3suo3
一牛鸣	yi1niu2ming2
一牛鸣地	yi1niu2ming2di4
一物不知	yi1wu4bu4zhi1
一物降一物	yi1wu4xiang2yi1wu4
一狐之掖	yi1hu2zhi1ye4
一狠二狠	yi1hen3er4hen3
一献三售	yi1xian4san1shou4
一献三酬	yi1xian4san1chou2
一现昙华	yi1xian4tan2hua1
一班一级	yi1ban1yi1ji2
一班一辈	yi1ban1yi1bei4
一班半点	yi1ban1ban4dian3
一琴一鹤	yi1qin2yi1he4
一瓣心香	yi1ban4xin1xiang1
一生一世	yi1sheng1yi1shi4
一生一代	yi1sheng1yi1dai4
一生九死	yi1sheng1jiu3si3
一男半女	yi1nan2ban4nv3
一画开天	yi1hua4kai1tian1
一病不起	yi1bing4bu4qi3
一登龙门	yi1deng1long2men2
一百二十行	yi1bai3er4shi2hang2
一盘散沙	yi1pan2san3sha1
一目之士	yi1mu4zhi1shi4
一目了然	yi1mu4liao3ran2
一目五行	yi1mu4wu3hang2
一目十行	yi1mu4shi2hang2
一目数行	yi1mu4shu4hang2
一相情原	yi1xiang1qing2yuan2
一相情愿	yi1xiang1qing2yuan4
一眨巴眼	yi1zha3ba1yan3
一瞑不视	yi1ming2bu4shi4
一矢双穿	yi1shi3shuang1chuan1
一知半见	yi1zhi1ban4jian4
一知半解	yi1zhi1ban4jie3
一知片解	yi1zhi1pian4jie3
一石二鸟	yi1shi2er4niao3
一碗水端平	yi1wan3shui3duan1ping2
一碧万顷	yi1bi4wan4qing3
一秉大公	yi1bing3da4gong1
一秉至公	yi1bing3zhi4gong1
一秉虔诚	yi1bing3qian2cheng2
一穷二白	yi1qiong2er4bai2
一空依傍	yi1kong1yi1bang4
一窍不通	yi1qiao4bu4tong1
一窝蜂	yi1wo1feng1
一竹竿打到底	yi1zhu2gan1da3dao4di3
一竿子捅到底	yi1gan1zi3tong3dao4di3
一笑一颦	yi1xiao4yi1pin2
一笑了之	yi1xiao4liao3zhi1
一笑了事	yi1xiao4le5shi4
一笑倾城	yi1xiao4qing1cheng2
一笑千金	yi1xiao4qian1jin1
一笑百媚	yi1xiao4bai3mei4
一笑置之	yi1xiao4zhi4zhi1
一笔不苟	yi1bi3bu4gou3
一笔勾断	yi1bi3gou1duan4
一笔勾消	yi1bi3gou1xiao1
一笔勾销	yi1bi3gou1xiao1
一笔抹杀	yi1bi3mo3sha1
一笔抹煞	yi1bi3mo3sha1
一筹莫展	yi1chou2mo4zhan3
一箪一瓢	yi1dan1yi1piao2
一箭之地	yi1jian4zhi1di4
一箭之遥	yi1jian4zhi1yao2
一箭双雕	yi1jian4shuang1diao1
一篑之功	yi1kui4zhi1gong1
一簧两舌	yi1huang2liang3she2
一索得男	yi1suo3de2nan2
一索成男	yi1suo3cheng2nan2
一纸千金	yi1zhi3qian1jin1
一纸空文	yi1zhi3kong1wen2
一线之路	yi1xian4zhi1lu4
一线生机	yi1xian4sheng1ji1
一统天下	yi1tong3tian1xia4
一缘一会	yi1yuan2yi1hui4
一网尽扫	yi1wang3jin4sao3
一网打尽	yi1wang3da3jin4
一而光	yi1er2guang1
一肢一节	yi1zhi1yi1jie2
一肢半节	yi1zhi1ban4jie2
一脉同气	yi1mai4tong2qi4
一脉相传	yi1mai4xiang1chuan2
一脉相承	yi1mai4xiang1cheng2
一脉相通	yi1mai4xiang1tong1
一脉香烟	yi1mai4xiang1yan1
一脚不移	yi1jiao3bu4yi2
一腔热血	yi1qiang1re4xue4
一臂之力	yi1bi4zhi1li4
一至于斯	yi1zhi4yu2si1
一至于此	yi1zhi4yu2ci3
一致百虑	yi1zhi4bai3lv4
一般无二	yi1ban1wu2er4
一花独放	yi1hua1du2fang4
一苇可航	yi1wei3ke3hang2
一草一木	yi1cao3yi1mu4
一落千丈	yi1luo4qian1zhang4
一薰一莸	yi1xun1yi1you2
一虎不河	yi1hu3bu4he2
一蛇两头	yi1she2liang3tou2
一蟹不如一蟹	yi1xie4bu4ru2yi1xie4
一行作吏	yi1xing2zuo4li4
一衣带水	yi1yi1dai4shui3
一表人才	yi1biao3ren2cai2
一表人材	yi1biao3ren2cai2
一表人物	yi1biao3ren2wu4
一表堂堂	yi1biao3tang2tang2
一表非俗	yi1biao3fei1su2
一表非凡	yi1biao3fei1fan2
一褱而论	yi1huai2er2lun4
一见倾心	yi1jian4qing1xin1
一见如故	yi1jian4ru2gu4
一见如旧	yi1jian4ru2jiu4
一见钟情	yi1jian4zhong1qing2
一视同仁	yi1shi4tong2ren2
一览无余	yi1lan3wu2yu2
一觞一咏	yi1shang1yi1yong3
一触即发	yi1chu4ji2fa1
一触即溃	yi1chu4ji2kui4
一言一行	yi1yan2yi1xing2
一言不发	yi1yan2bu4fa1
一言两语	yi1yan2liang3yu3
一言丧邦	yi1yan2sang4bang1
一言为定	yi1yan2wei2ding4
一言九鼎	yi1yan2jiu3ding3
一言以蔽之	yi1yan2yi3bi4zhi1
一言兴邦	yi1yan2xing1bang1
